Date,Open,High,Low,Close,Adj Close,Volume
2017-08-08,81.169998,81.860001,80.900002,81.589996,78.363289,7381400
2017-08-09,81.110001,81.989998,80.900002,81.610001,78.875549,6606500
2017-08-10,81.070000,81.400002,80.550003,80.660004,77.957382,8045000
2017-08-11,80.730003,81.250000,80.360001,80.400002,77.706085,7905500
2017-08-14,80.589996,81.239998,80.500000,80.699997,77.996033,7760500
2017-08-15,80.830002,81.400002,80.540001,80.769997,78.063683,7066100
2017-08-16,81.269997,81.440002,80.540001,80.980003,78.266655,11536000
2017-08-17,78.849998,79.809998,78.330002,79.699997,77.029541,17293700
2017-08-18,79.620003,80.349998,79.279999,79.309998,76.652603,9753000
2017-08-21,79.120003,80.070000,78.790001,79.709999,77.039200,9613900
2017-08-22,79.800003,80.160004,79.709999,80.019997,77.338821,6546100
2017-08-23,80.349998,80.559998,79.879997,79.959999,77.280830,7799300
2017-08-24,80.610001,80.879997,77.849998,78.339996,75.715111,19128000
2017-08-25,78.500000,79.089996,78.480003,78.629997,75.995392,9902200
2017-08-28,78.410004,78.459999,77.860001,78.029999,75.415504,8621500
2017-08-29,77.669998,78.980003,77.500000,78.769997,76.130699,7665200
2017-08-30,78.820000,79.099998,78.519997,78.540001,75.908409,5829800
2017-08-31,78.599998,78.750000,78.059998,78.070000,75.454155,8194800
2017-09-01,78.309998,78.500000,78.209999,78.370003,75.744110,6474400
2017-09-05,77.949997,79.889999,77.900002,79.800003,77.126198,12068500
2017-09-06,79.879997,80.400002,79.720001,80.080002,77.396812,8426100
2017-09-07,80.320000,80.760002,80.000000,80.120003,77.435471,6820800
2017-09-08,79.739998,79.879997,77.730003,78.879997,76.237015,9999600
2017-09-11,79.150002,79.349998,78.660004,79.080002,76.430328,7000200
2017-09-12,79.300003,79.910004,79.169998,79.610001,76.942574,6005000
2017-09-13,79.610001,80.680000,79.589996,79.860001,77.184181,8823700
2017-09-14,79.790001,79.820000,79.220001,79.680000,77.010216,6939300
2017-09-15,79.809998,80.750000,79.269997,80.379997,77.686760,13317800
2017-09-18,80.209999,81.120003,79.949997,80.000000,77.319481,8176100
2017-09-19,80.180000,80.459999,79.699997,80.050003,77.367813,6174400
2017-09-20,80.169998,80.559998,79.870003,80.500000,77.802742,5318200
2017-09-21,80.570000,80.570000,79.720001,80.010002,77.329155,6430300
2017-09-22,79.889999,80.080002,79.250000,79.529999,76.865234,5755300
2017-09-25,78.919998,80.099998,78.860001,79.150002,76.497978,8547800
2017-09-26,79.040001,79.540001,78.919998,79.389999,76.729927,5835300
2017-09-27,79.419998,79.570000,78.669998,79.290001,76.633270,6314600
2017-09-28,79.000000,79.080002,78.120003,78.949997,76.304657,12372800
2017-09-29,78.849998,79.000000,77.980003,78.139999,75.521812,10353400
2017-10-02,77.900002,78.830002,77.500000,78.449997,75.821419,7709200
2017-10-03,78.830002,79.660004,78.750000,79.220001,76.565620,7936700
