Date,Close
12/13/18,2650.540039
12/14/18,2599.949951
12/17/18,2545.939941
12/18/18,2546.159912
12/19/18,2506.959961
12/20/18,2467.419922
12/21/18,2416.620117
12/24/18,2351.100098
12/26/18,2467.699951
12/27/18,2488.830078
12/28/18,2485.73999
12/31/18,2506.850098
1/2/19,2510.030029
1/3/19,2447.889893
1/4/19,2531.939941
1/7/19,2549.689941
1/8/19,2574.409912
1/9/19,2584.959961
1/10/19,2596.639893
1/11/19,2596.26001
1/14/19,2582.610107
1/15/19,2610.300049
1/16/19,2616.100098
1/17/19,2635.959961
1/18/19,2670.709961
1/22/19,2632.899902
1/23/19,2638.699951
1/24/19,2642.330078
1/25/19,2664.76001
1/28/19,2643.850098
1/29/19,2640
1/30/19,2681.050049
1/31/19,2704.100098
2/1/19,2706.530029
2/4/19,2724.870117
2/5/19,2737.699951
2/6/19,2731.610107
2/7/19,2706.050049
2/8/19,2707.879883
2/11/19,2709.800049
2/12/19,2744.72998
2/13/19,2753.030029
2/14/19,2745.72998
2/15/19,2775.600098
2/19/19,2779.76001
2/20/19,2784.699951
2/21/19,2774.879883
2/22/19,2792.669922
2/25/19,2796.110107
2/26/19,2793.899902
2/27/19,2792.379883
2/28/19,2784.48999
3/1/19,2803.689941
3/4/19,2792.810059
3/5/19,2789.649902
3/6/19,2771.449951
3/7/19,2748.929932
3/8/19,2743.070068
3/11/19,2783.300049
3/12/19,2791.52002
3/13/19,2810.919922
3/14/19,2808.47998
3/15/19,2822.47998
3/18/19,2832.939941
3/19/19,2832.570068
3/20/19,2824.22998
3/21/19,2854.879883
3/22/19,2800.709961
3/25/19,2798.360107
3/26/19,2818.459961
3/27/19,2805.370117
3/28/19,2815.439941
3/29/19,2834.399902
4/1/19,2867.189941
4/2/19,2867.23999
4/3/19,2873.399902
4/4/19,2879.389893
4/5/19,2892.73999
4/8/19,2895.77002
4/9/19,2878.199951
4/10/19,2888.209961
4/11/19,2888.320068
4/12/19,2907.409912
4/15/19,2905.580078
4/16/19,2907.060059
4/17/19,2900.449951
4/18/19,2905.030029
4/22/19,2907.969971
4/23/19,2933.679932
4/24/19,2927.25
4/25/19,2926.169922
